Indice;Prompt_Original;PT_Referencia_Dataset;Resposta_Gerada
0;"Task: Kindly complete the input table by providing the value for the missing entry, indicated by '[MISSING]'. Only the filled-in value is required, not the entire table. Return the final result as JSON in the format {""value"": ""<value filled in>""}.\nIn:\n|Pos|Driver|DQSF|INDY|Pts|\n|---|---|---|---|---|\n|1|Rick Mears|nan|1*|1000|\n|2|Roberto Guerrero|nan|2|800|\n|3|[MISSING]|nan|3|700|\n|4|Al Holbert|nan|4|600|\n|5|Michael Andretti|nan|5|500|\nReturn the final result as JSON in the format {""value"": ""<value filled in>""}.\nOut:";"{""value"": ""Al Unser""}";"{""value"": ""Al Unser""}"
1;"Task: Please determine the matching columns between Table A and Table B. State the corresponding columns in Table B for each of the columns in Table A. If a column in Table A has no counterpart in Table B, you can map it to None. Represent the mappings using a list of column headers in the format [Table A Column, Table B Column or None]. Provide the mappings for each Table A column and assemble them into a list Return the final result as JSON in the format {""column_mappings"": ""<a list of column pairs>""}.\n## Input:\nTable A:\n|Location|Status|Age|Name|Unit|\n|---|---|---|---|---|\n|Uzbekistan|Valid|Turonian|Nesovtriton|Bissekty Formation|\n|Brazil|Valid|Lower Cretaceous|Cratia|Crato Formation|\nTable B:\n|Geographic Location|Species Name|Geological Unit|Contributors|\n|---|---|---|---|\n|USA|Nannaroter|nan|Anderson Scott Reisz|\n|Brazil|Eurycephalella|Crato Formation|Báez Moura Gómez|\n|China|Regalerpeton|Huajiying Formation|Zhang Wang Jones Evans|\nReturn the final result as JSON in the format {""column_mappings"": ""<a list of column pairs>""}.\n## Output:";"{""column_mappings"": [[""Location"", ""Geographic Location""], [""Status"", ""None""], [""Age"", ""None""], [""Name"", ""Species Name""], [""Unit"", ""Geological Unit""]]}";"{""column_mappings"": [[""Location"", ""Geographic Location""], [""Status"", ""None""], [""Age"", ""None""], [""Name"", ""Species Name""], [""Unit"", ""Geological Unit""]]}"
2;"Task: Take a look at the table of inputs and outputs in two columns. Analyze the patterns based on the initial rows and compute the output value for the last row labeled as '[Output Value].' Provide only the output value and do not include any other data. Return the final result as JSON in the format {""output_value"": ""<output value transformed from the input value>""}.\nIn:\n|Input|Output|\n|---|---|\n|1:37,525|1:37.525|\n|1:39,093|1:39.093|\n|1:37,929|1:37.929|\n|1:39,071|1:39.071|\n|1:38,670|1:38.670|\n|1:38,393|1:38.393|\n|1:38,426|1:38.426|\n|1:38,378|1:38.378|\n|1:38,549|[Output Value]|\nReturn the final result as JSON in the format {""output_value"": ""<output value transformed from the input value>""}.\nOut:";"{""output_value"": ""1:38.549""}";"{""output_value"": ""1:38.549""}"
3;"Task: Locate the corresponding columns in Table B that match with those in Table A. For each column in Table A, provide the corresponding column in Table B. If a column in A doesn't have a corresponding column in Table B, you can map it to None. Represent the mappings using pairs of column headers in a list format, like [Table A Column, Table B Column or None]. Provide the mappings for each column in Table A and compile them into a list Return the final result as JSON in the format {""column_mappings"": ""<a list of column pairs>""}.\nQ:\nTable A:\n|Episodes(14)|Episodes(7)|Episodes(4)|Episodes(10)|Episodes(11)|Episodes(3)|Episodes(6)|Episodes(9)|Episodes(2)|Order|Episodes(5)|Episodes(12)|\n|---|---|---|---|---|---|---|---|---|---|---|---|\n|Triinu|Triinu|Lisann|Keiu|Keiu|Evelin|Ksenia|Keiu|Aleksandra|3|Keiu|Helina|\n|Keiu|Ksenia|Xena|Lisann|Triinu|Helina|Lisann|Lisann|Triinu|4|Mari|Triinu|\nTable B:\n|Episode 9|Series|Episode 3|Episode 2|Episode 10|Episode 4|Episode 5|Episode 11|Episode 12|Episode 7|Episode 14|Episode 6|\n|---|---|---|---|---|---|---|---|---|---|---|---|\n|Triinu|2|Aleksandra|Helina|Triinu|Evelin|Adeline Ksenia|Helina|Keiu|Keiu|Xena|Keiu|\n|Ksenia|5|Triinu|Keiu|Xena|Anita|Triinu|Lisann|nan|Helina|nan|Xena|\n|Helina|1|Keiu|Xena|Helina|Triinu|Adeline Ksenia|Xena|Xena|Lisann|Helina|Helina|\nReturn the final result as JSON in the format {""column_mappings"": ""<a list of column pairs>""}.\nA:";"{""column_mappings"": [[""Episodes(14)"", ""Episode 14""], [""Episodes(7)"", ""Episode 7""], [""Episodes(4)"", ""Episode 4""], [""Episodes(10)"", ""Episode 10""], [""Episodes(11)"", ""Episode 11""], [""Episodes(3)"", ""Episode 3""], [""Episodes(6)"", ""Episode 6""], [""Episodes(9)"", ""Episode 9""], [""Episodes(2)"", ""Episode 2""], [""Order"", ""Series""], [""Episodes(5)"", ""Episode 5""], [""Episodes(12)"", ""Episode 12""]]}";"{""column_mappings"": [[""Episodes(14)"", ""Episode 14""], [""Episodes(7)"", ""Episode 7""], [""Episodes(4)"", ""Episode 4""], [""Episodes(10)"", ""Episode 10""], [""Episodes(11)"", ""Episode 11""], [""Episodes(3)"", ""Episode 3""], [""Episodes(6)"", ""Episode 6""], [""Episodes(9)"", ""Episode 9""], [""Episodes(2)"", ""Episode 2""], [""Order"", ""Series""], [""Episodes(5)"", ""Episode 5""], [""Episodes(12)"", ""Episode 12""]]}"
4;"Objective: Discover the columns in Table B that match with those in Table A. For each column present in Table A, specify the corresponding column present in Table B. If a column in Table A doesn't have a corresponding column in Table B, you can represent it as None. Use pairs of column headers in a list format, like [Table A Column, Table B Column or None], to express each mapping. List out the mappings for each column in Table A and compile them in a list Return the final result as JSON in the format {""column_mappings"": ""<a list of column pairs>""}.\nQuestion:\nTable A:\n|Name|Weight|Position|Year|Height|High School/Last College|Number|Hometown|\n|---|---|---|---|---|---|---|---|\n|Eric Boateng|245|Center|Senior|6–10|Duke University|2|London, England|\n|Derek Glasser|190|Guard|Senior|6–1|Artesia HS|12|Marina Del Rey, CA|\nTable B:\n|Academic Year|Stature|Previous School|Role|Player Number|\n|---|---|---|---|---|\n|Senior|6–9|Etiwanda HS|Forward|4|\n|Junior|6–3|Desert Vista High School|Guard|3|\n|Junior|6–2|O'Dea HS|Guard|10|\nReturn the final result as JSON in the format {""column_mappings"": ""<a list of column pairs>""}.\nAnswer:";"{""column_mappings"": [[""Name"", ""None""], [""Weight"", ""None""], [""Position"", ""Role""], [""Year"", ""Academic Year""], [""Height"", ""Stature""], [""High School/Last College"", ""Previous School""], [""Number"", ""Player Number""], [""Hometown"", ""None""]]}";"{""column_mappings"": [[""Name"", ""None""], [""Weight"", ""None""], [""Position"", ""Role""], [""Year"", ""Academic Year""], [""Height"", ""Stature""], [""High School/Last College"", ""Previous School""], [""Number"", ""Player Number""], [""Hometown"", ""None""]]}"
5;"Description: Kindly analyze the input table and inform me about any cell or cells that contain errors. If there are multiple cells containing errors, list them. If no cells contain errors, state 'None'. Only provide the cells you have a high degree of confidence in identifying as erroneous. Return the final result as JSON in the format {""erroneous_cells"": ""<a list of erroneous cells or None>""}.  Let's think step by step and show your reasoning before showing the final result.\nQ:\n|Elected|Constituency|Party|\n|---|---|---|\n|Edwin Ochieng Iynda|Alego|ODM|\n|Christopher Mogere Obure|Bobasi|ODM|\n|Joel Onyancha|Bommachoge|FORD P|\n|Charles Onyancha|Bonchari|ODM|\n|Oburu Odinga|Bondo|ODM|\nLet's think step by step and show your reasoning before showing the final result. Return the final result as JSON in the format {""erroneous_cells"": ""<a list of erroneous cells or None>""}.\nA:";"The cell ""Edwin Ochieng Iynda"" is misspelled and should be ""Edwin Ochieng Yinda"". The cell ""Bommachoge"" is misspelled and should be ""Bomachoge"". Therefore, the answer is {""erroneous_cells"": [""Edwin Ochieng Iynda"", ""Bommachoge""]}";"The cell ""FORD P"" is misspelled and should be ""FORD"". Therefore, the answer is {""erroneous_cells"": [""FORD P""]}"
6;"Objective: Use the table given with inputs and outputs in two columns to identify patterns based on the first few rows. Afterward, predict the value for the last row denoted as '[Output Value].' Please only return the output value and exclude all other details. Return the final result as JSON in the format {""output_value"": ""<output value transformed from the input value>""}.\nQ:\n|Input|Output|\n|---|---|\n|Gail Devers|Gail Devers (USA)|\n|Gwen Torrence|Gwen Torrence (USA)|\n|Marion Jones|Marion Jones (USA)|\n|Marion Jones|Marion Jones (USA)|\n|Torri Edwards|Torri Edwards (USA)|\n|Carmelita Jeter|[Output Value]|\nReturn the final result as JSON in the format {""output_value"": ""<output value transformed from the input value>""}.\nA:";"{""output_value"": ""Carmelita Jeter (USA)""}";"{""output_value"": ""Carmelita Jeter (USA)""}"
7;"Description: Your job is to write an SQL query while considering the input table and question. Use 'table' as the table name if it helps. Return the final result as JSON in the format {""SQL"": ""<SQL code>""}.\nInput:\n**Input table:**\n|Song title|Artist|Decade|Genre|Single / Pack name|Release date|Family Friendly|Additional Rock Band 3 Features|\n|---|---|---|---|---|---|---|---|\n|""Claudette""|Roy Orbison|1980s|Pop-Rock|Roy Orbison 01|Jan.6,2009|Yes|None|\n|"" In Dreams ""|Roy Orbison|1980s|Pop-Rock|Roy Orbison 01|Jan.6,2009|Yes|None|\n|"" Mean Woman Blues ""|Roy Orbison|1980s|Pop-Rock|Roy Orbison 01|Jan.6,2009|Yes|None|\n|"" Oh, Pretty Woman ""|Roy Orbison|1980s|Pop-Rock|Roy Orbison 01|Jan.6,2009|Yes|None|\n|""Ooby Dooby""|Roy Orbison|1980s|Pop-Rock|Roy Orbison 01|Jan.6,2009|Yes|None|\n**Question:**\nWhat is the artist of the song ""sugarbaby""?\nReturn the final result as JSON in the format {""SQL"": ""<SQL code>""}.\nOutput:";"{""SQL"": ""SELECT  `Artist` FROM table WHERE `Song title` = \""Sugarbaby\""""}";"{""SQL"": ""SELECT  `Artist` FROM table WHERE `Song title` = \""sugarbaby\""""}"
8;"# Task Description: I would like you to verify whether Book A and Book B are referring to the same entity or not. Your final response should be 'Yes' or 'No'. Return the final result as JSON in the format {""answer"": ""<Yes or No>""}.  Let's think step by step and show your reasoning before showing the final result.\n## Input:\nThe below table depicts Book A.\n|Author|Price|Publisher|Pages|Publication_Date|ISBN13|Title|Dimensions|\n|---|---|---|---|---|---|---|---|\n|Darren Shan|$8.99 |Little, Brown Books for Young Readers|256.0|10/1/02|9780316606844|The Vampire's Assistant (Cirque Du Freak Series #2)|5.50(w) x 8.20(h) x 0.70(d)|\nThe following table provides details of Book B.\n|NewPrice|UsedPrice|ISBN13|Publisher|Title|ISBN10|Dimensions|Author|Pages|Publication_Date|\n|---|---|---|---|---|---|---|---|---|---|\n|$10.59|$5.79|9780316605106|Little, Brown Books for Young Readers|A Living Nightmare(Cirque Du Freak: Saga of Darren Shan (Paperback))|0316605107|5.50 x 8.30 x 0.80 inches|Darren Shan|272|Jun. 1st, 2002|\nLet's think step by step and show your reasoning before showing the final result. Return the final result as JSON in the format {""answer"": ""<Yes or No>""}.\n## Output:";"Book A and Book B are both written by Darren Shan and are part of the Cirque Du Freak series. However, Book A is titled ""The Vampire's Assistant"" and has an ISBN13 of 9780316606844, while Book B is titled ""A Living Nightmare"" and has an ISBN13 of 9780316605106. Additionally, Book A has 256 pages and dimensions of 5.50(w) x 8.20(h) x 0.70(d), while Book B has 272 pages and dimensions of 5.50 x 8.30 x 0.80 inches. Therefore, the final answer is {""answer"": ""No""}.";"Book A and Book B are both written by Darren Shan and are part of the Cirque Du Freak series. However, Book A is titled ""The Vampire's Assistant"" and has an ISBN13 of 9780316606844, while Book B is titled ""A Living Nightmare"" and has an ISBN13 of 9780316605106. Additionally, Book A has 256 pages and dimensions of 5.50(w) x 8.20(h) x 0.70(d), while Book B has 272 pages and dimensions of 5.50 x 8.30 x 0.80 inches. Therefore, the final answer is {""answer"": ""No""}."
9;"Description: Take the list provided and transform it into a table with several columns. The table should be in plain text format, with vertical bars (|) as column dividers and a new line for each row. Return the final result as JSON in the format {""table"": ""<table transformed from the list>""}.\n[Q]:\nUser E-mail Number Zipcode Country City Street - Name Street - Number\n71A5M0@MQ25YM.QEOZMUI 2 32206 Canada Rochester Arthog 402\n4LHD7A@1W08OVZU2.RYG49JO 4 83590 Brazil Garland Betws-y-Coed 283\n5S046Q@DAR9SG.N0VUFZ 4 4199 Brazil Akron Strathpeffer 991\n01E8TAAKZ@DETX2CV0Z.QJDFU4 5 81279 Argentina Lincoln Aboyne 209\n3GLYXW@C13C8DNY.S7E1Y905 4 17931 Bangladesh Toledo Farnham 186\n[A]:\n{""table"": ""|User E-mail|Number|Zipcode|Country|City|Street - Name|Street - Number|\n|---|---|---|---|---|---|---|\n|71A5M0@MQ25YM.QEOZMUI|2|32206|Canada|Rochester|Arthog|402|\n|4LHD7A@1W08OVZU2.RYG49JO|4|83590|Brazil|Garland|Betws-y-Coed|283|\n|5S046Q@DAR9SG.N0VUFZ|4|4199|Brazil|Akron|Strathpeffer|991|\n|01E8TAAKZ@DETX2CV0Z.QJDFU4|5|81279|Argentina|Lincoln|Aboyne|209|\n|3GLYXW@C13C8DNY.S7E1Y905|4|17931|Bangladesh|Toledo|Farnham|186|\n""}\n[Q]:\nPlayer Team Reason Announcement date Replacement Signing date\nMarcus Stoinis Kings XI Punjab Shoulder injury 6 May 2017 nan nan\nMitchell Marsh Rising Pune Supergiant Shoulder injury 12 March 2017 Imran Tahir 23 March 2017\nMurali Vijay Kings XI Punjab Wrist and shoulder injury 4 April 2017 Ishant Sharma 4 April 2017\nNathu Singh Gujarat Lions Back spasms 5 May 2017 nan nan\nQuinton de Kock Delhi Daredevils Finger injury 24 March 2017 Marlon Samuels 27 April 2017\n[A]:\n{""table"": ""|Player|Team|Reason|Announcement date|Replacement|Signing date|\n|---|---|---|---|---|---|\n|Marcus Stoinis|Kings XI Punjab|Shoulder injury|6 May 2017|nan|nan|\n|Mitchell Marsh|Rising Pune Supergiant|Shoulder injury|12 March 2017|Imran Tahir|23 March 2017|\n|Murali Vijay|Kings XI Punjab|Wrist and shoulder injury|4 April 2017|Ishant Sharma|4 April 2017|\n|Nathu Singh|Gujarat Lions|Back spasms|5 May 2017|nan|nan|\n|Quinton de Kock|Delhi Daredevils|Finger injury|24 March 2017|Marlon Samuels|27 April 2017|\n""}\n[Q]:\nOrder Episodes(1) Episodes(10) Episodes(12) Episodes(13) Episodes(2) Episodes(3) Episodes(4) Episodes(5) Episodes(6) Episodes(7) Episodes(8) Episodes(9)\n5 Jessica Aastha nan nan Kate Filantropi Melissa Rachel Melissa Sofia Sofia Stephanie Stephanie\n6 Aastha nan nan nan Trang Sofia Jessica Stephanie Helena Helena Sofia Stephanie Helena\n7 Monica nan nan nan Bei Si Melissa Rachel Sofia Kate Melissa nan nan\n8 Filantropi nan nan nan Melissa Jessica Helena Melissa Rachel nan nan nan\n12 Jee nan nan nan Monica Bei Si nan nan nan nan nan nan\nReturn the final result as JSON in the format {""table"": ""<table transformed from the list>""}.\n[A]:";"{""table"": ""|Order|Episodes(1)|Episodes(10)|Episodes(12)|Episodes(13)|Episodes(2)|Episodes(3)|Episodes(4)|Episodes(5)|Episodes(6)|Episodes(7)|Episodes(8)|Episodes(9)|\n|---|---|---|---|---|---|---|---|---|---|---|---|---|\n|5|Jessica|Aastha|nan|nan|Kate|Filantropi|Melissa|Rachel|Melissa|Sofia|Sofia Stephanie|Stephanie|\n|6|Aastha|nan|nan|nan|Trang|Sofia|Jessica|Stephanie|Helena|Helena|Sofia Stephanie|Helena|\n|7|Monica|nan|nan|nan|Bei Si|Melissa|Rachel|Sofia|Kate|Melissa|nan|nan|\n|8|Filantropi|nan|nan|nan|Melissa|Jessica|Helena|Melissa|Rachel|nan|nan|nan|\n|12|Jee|nan|nan|nan|Monica|Bei Si|nan|nan|nan|nan|nan|nan|\n""}";"{""table"": ""|Order|Episodes(1)|Episodes(10)|Episodes(12)|Episodes(13)|Episodes(2)|Episodes(3)|Episodes(4)|Episodes(5)|Episodes(6)|Episodes(7)|Episodes(8)|Episodes(9)|\n|---|---|---|---|---|---|---|---|---|---|---|---|---|\n|5|Jessica|Aastha|nan|nan|Kate|Filantropi|Melissa|Rachel|Melissa|Sofia|Sofia|Stephanie|Stephanie|\n|6|Aastha|nan|nan|nan|Trang|Sofia|Jessica|Stephanie|Helena|Helena|Stephanie|Helena|\n|7|Monica|nan|nan|nan|Bei Si|Melissa|Rachel|Sofia|Kate|Melissa|nan|nan|\n|8|Filantropi|nan|nan|nan|Melissa|Jessica|Helena|Melissa|Rachel|nan|nan|nan|nan|\n|12|Jee|nan|nan|nan|Monica|Bei Si|nan|nan|nan|nan|nan|nan|\n""}"
