Teste,Modelo,Nota_Juiz,Justificacao
Teste A (Conversação),BF16,5,"Esta versão apresenta o desempenho mais elevado e consistente. A precisão factual é excelente em todos os domínios (nutrição, geologia, física, etc.). Do ponto de vista linguístico, o modelo demonstra um domínio total da norma pt-PT, utilizando corretamente termos como ""pequeno-almoço"", ""telemóvel"", ""comboio"" e ""frutos vermelhos"". A sintaxe é natural, evitando o uso de gerúndios brasileiros e mantendo a estrutura ""estou a [verbo]"". As respostas são completas e expandem a instrução de forma útil e educada."
Teste A (Conversação),Q8_0,5,"A quantização Q8_0 mantém quase integralmente a qualidade da versão BF16. Não foram detetadas alucinações ou erros factuais significativos. A qualidade linguística permanece estritamente fiel ao Português de Portugal, com fluidez e vocabulário adequado ao contexto geográfico (referências a ordens profissionais portuguesas e sites de emprego locais). A completude é total, cumprindo todos os requisitos das instruções."
Teste A (Conversação),Q5_K_M,5,"O modelo continua a apresentar um desempenho sólido. A precisão factual mantém-se elevada, e a distinção entre as variantes de português é respeitada com rigor. O vocabulário é rico e adequado (""estacionamento"", ""parque de estacionamento"", ""autocarro""). A coesão lógica entre as perguntas do utilizador e as respostas do assistente é mantida sem falhas percetíveis."
Teste A (Conversação),Q4_K_M,5,"Apesar da redução no tamanho do modelo, a qualidade em pt-PT é surpreendentemente preservada. O modelo evita termos brasileiros e mantém a precisão em temas complexos como a escala de tempo geológico e física. A estrutura das frases é elegante e a completude das respostas é satisfatória, fornecendo conselhos práticos e contextualmente relevantes para a realidade portuguesa."
Teste A (Conversação),Q3_K_M,4,"Nesta versão, nota-se uma ligeira simplificação na estrutura das frases, mas a precisão factual e a qualidade linguística pt-PT permanecem robustas. O modelo continua a usar corretamente as formas verbais e o vocabulário de Portugal. Não existem alucinações graves, embora a profundidade de algumas explicações seja ligeiramente inferior às versões de maior precisão. Cumpre bem a tarefa de conversação."
Teste A (Conversação),Q2_K,2,"Esta versão apresenta falhas graves em todos os eixos. Na Precisão, ocorrem alucinações factuais inaceitáveis: afirma que o deserto de ""Sonara"" (Sonora) fica na Austrália (fica na América do Norte) e confunde Éons com Eras na geologia. Na Qualidade Linguística, introduz termos exclusivos do Português do Brasil (pt-BR), como ""pães de sal"" (em pt-PT dir-se-ia ""carcaças"" ou ""pão de água"") e utiliza expressões menos naturais. A lógica de algumas respostas torna-se bizarra (ex: baleias que afundam navios como metáfora para predadores)."
Teste B (Tradução),BF16,5,"O desempenho é de excelência. O modelo demonstra uma compreensão profunda das nuances entre o inglês e o português de Portugal. As escolhas lexicais são precisas e naturais (ex: ""ribalta"" para spotlight, ""propalada"" para vaunted). A sintaxe respeita integralmente a norma europeia, utilizando corretamente a colocação pronominal e evitando gerundismos. Em textos jurídicos e técnicos, manteve o rigor terminológico necessário."
Teste B (Tradução),Q8_0,5,"A qualidade é praticamente indistinguível da versão BF16. O modelo mantém a fidelidade semântica e a fluidez em pt-PT. Consegue adaptar expressões idiomáticas com sucesso e mantém a estrutura correta de nomes de instituições e cargos (ex: ""Comissão Parlamentar de Inquérito""). Não foram detetadas influências da variante brasileira."
Teste B (Tradução),Q5_K_M,5,"O modelo continua a apresentar resultados muito sólidos. A equivalência semântica é mantida em quase todos os exemplos. Nota-se uma ligeira variação em termos de preferência vocabular face à referência, mas sempre dentro da norma de Portugal. A fluidez é elevada e a gramática está correta."
Teste B (Tradução),Q4_K_M,4,"O modelo apresenta um bom desempenho geral, mas começam a surgir pequenas falhas de precisão terminológica. No índice 13, utilizou o termo ""anchilosed"" (mantendo o radical inglês de forma incorreta) em vez de ""anquilosado"" ou ""estagnado"". No índice 20, houve uma pequena alucinação numérica (""Artigo 5.º"" em vez de ""7.º""). Contudo, a linguagem permanece puramente pt-PT e a maioria das traduções é funcional e correta."
