Indice;Problema_Original;Solucao_Referencia;Raciocinio_Gerado_Pelo_Modelo
0;"Documento document_2:\nPoucos países terão usado o mar de forma tão negligente¹ como nós.\nE, contudo, ao longo dos anos, foi possível planear e desenvolver no nosso país iniciativas económicas, científicas e tecnológicas em torno do mar, com elevados níveis de qualidade.\nA grande mudança assinala-se em meados dos anos 90 e é publicamente consagrada pela Expo-98, dedicada a ""Os Oceanos – Um Património Para o Futuro"", com o objectivo de sensibilizar para os problemas dos oceanos, estimular a investigação científica e reactivar as indústrias e os sectores ligados aos recursos marinhos. Por alguma razão, o Oceanário de Lisboa continua a ser hoje uma das maiores atracções científicas, culturais e recreativas da cidade e do país. A ele devemos a recordação de que a Expo-98 foi uma grande exposição internacional subordinada ao tema dos oceanos. A ele devemos também um contributo para a instalação de uma cultura pública de sensibilidade à vida marinha e à beleza dos seus ecossistemas².\nEntretanto, de 1998 para cá, várias iniciativas têm vindo a dar progressiva consistência à ideia de colocar o mar no centro da nossa consciência de país com um futuro a construir.\n Luísa Schmidt, ""A-mar ou desperdiçar"", Expresso, 27 de Fevereiro de 2010 (texto adaptado)\nVOCABULÁRIO\n1 negligente (linha 1): descuidada.\n2 ecossistemas (linha 11): conjuntos formados por um ambiente natural e pelos seres vivos que o habitam, em interacção entre si e com o próprio ambiente.\nA mudança de atitude em relação ao mar, em meados dos anos 90,\nOpções:\nA) teve uma motivação apenas turística e recreativa.\nB) respondeu a um estado de desastre ecológico.\nC) promoveu uma nova sensibilidade à vida marinha.\nD) consistiu só no desenvolvimento do projecto do Oceanário.\n";C;C
1;"Documento document_2:\nPoucos países terão usado o mar de forma tão negligente¹ como nós.\nE, contudo, ao longo dos anos, foi possível planear e desenvolver no nosso país iniciativas económicas, científicas e tecnológicas em torno do mar, com elevados níveis de qualidade.\nA grande mudança assinala-se em meados dos anos 90 e é publicamente consagrada pela Expo-98, dedicada a ""Os Oceanos – Um Património Para o Futuro"", com o objectivo de sensibilizar para os problemas dos oceanos, estimular a investigação científica e reactivar as indústrias e os sectores ligados aos recursos marinhos. Por alguma razão, o Oceanário de Lisboa continua a ser hoje uma das maiores atracções científicas, culturais e recreativas da cidade e do país. A ele devemos a recordação de que a Expo-98 foi uma grande exposição internacional subordinada ao tema dos oceanos. A ele devemos também um contributo para a instalação de uma cultura pública de sensibilidade à vida marinha e à beleza dos seus ecossistemas².\nEntretanto, de 1998 para cá, várias iniciativas têm vindo a dar progressiva consistência à ideia de colocar o mar no centro da nossa consciência de país com um futuro a construir.\n Luísa Schmidt, ""A-mar ou desperdiçar"", Expresso, 27 de Fevereiro de 2010 (texto adaptado)\nVOCABULÁRIO\n1 negligente (linha 1): descuidada.\n2 ecossistemas (linha 11): conjuntos formados por um ambiente natural e pelos seres vivos que o habitam, em interacção entre si e com o próprio ambiente.\nNa linha 8, o pronome pessoal ""ele"" refere-se a\nOpções:\nA) ""mar"" (linha 3).\nB) ""o objectivo"" (linha 5).\nC) ""o Oceanário de Lisboa"" (linha 7).\nD) ""país"" (linha 8).\n";C;C
2;Documento document_I_A:\nO meu olhar azul como o céu\nÉ calmo como a água ao sol.\nÉ assim, azul e calmo,\nPorque não interroga nem se espanta...\nSe eu interrogasse e me espantasse\nNão nasciam flores novas nos prados\nNem mudaria qualquer cousa no sol de modo a ele ficar mais belo.\n(Mesmo se nascessem flores novas no prado\nE se o sol mudasse para mais belo,\nEu sentiria menos flores no prado\nE achava mais feio o sol...\nPorque tudo é como é e assim é que é,\nE eu aceito, e nem agradeço,\nPara não parecer que penso nisso...)\nAlberto Caeiro, Poesia, edição de Fernando Cabral Martins e Richard Zenith, 3.ª ed.,\nLisboa, Assírio & Alvim, 2009, p. 57.\nSelecione a opção de resposta adequada para completar a afirmação abaixo apresentada.\nNo âmbito da argumentação desenvolvida ao longo da segunda e da terceira estrofes, o recurso à ________ nos versos de 8 a 11, evidencia a ideia de que é pela visão que se pode ________.\nOpções:\nA) metonímia ... alterar a perceção da natureza\nB) antítese ... conhecer a beleza objetiva da natureza\nC) metonímia ... conhecer a beleza objetiva da natureza\nD) antítese ... alterar a perceção da natureza\n;B;B
3;"Documento document_I:\nCorrem turvas as águas deste rio,\nque as do Céu e as do monte as enturbaram1;\nos campos florecidos se secaram,\nintratável2 se fez o vale, e frio.\nPassou o verão, passou o ardente estio³,\nũas cousas por outras se trocaram;\nos fementidos4 Fados já deixaram\ndo mundo o regimento5, ou desvario6.\nTem o tempo sua ordem já sabida;\no mundo, não; mas anda tão confuso,\nque parece que dele Deus se esquece.\nCasos, opiniões, natura e uso\nfazem que nos pareça desta vida\nque não há nela mais que o que parece.\nLuís de Camões, Rimas, edição de Álvaro J. da Costa Pimpão, Coimbra, Almedina, 1994, p. 168.\nNOTAS\nenturbaram - tornaram turvas.\nintratável - inacessível; intransitável.\nestio - tempo quente e seco.\nfementidos - enganosos.\nregimento - governo.\ndesvario - loucura; inquietação; excesso.\nnatura - natureza humana.\nSelecione a opção de resposta adequada para completar as afirmações abaixo apresentadas.\nNeste soneto, além do tema da mudança, também se destaca o tema ___________. Perante a realidade que perceciona, o sujeito poético evidencia um sentimento de __________.\nOpções:\nA) da reflexão sobre a vida pessoal ... indiferença\nB) da reflexão sobre a vida pessoal ... descrença\nC) do desconcerto ... indiferença\nD) do desconcerto ... descrença\n";D;D
4;Documento Poema_Camões:\nCAMÕES DIRIGE-SE AOS SEUS CONTEMPORÂNEOS\nPodereis roubar-me tudo:\nas ideias, as palavras, as imagens,\ne também as metáforas, os temas, os motivos,\nos símbolos, e a primazia\nnas dores sofridas de uma língua nova,\nno entendimento de outros, na coragem\nde combater, julgar, de penetrar\nem recessos de amor para que sois castrados.\nE podereis depois não me citar,\nsuprimir-me, ignorar-me, aclamar até\noutros ladrões mais felizes.\nNão importa nada: que o castigo\nserá terrível. Não só quando\nvossos netos não souberem já quem sois\nterão de me saber melhor ainda\ndo que fingis que não sabeis,\ncomo tudo, tudo o que laboriosamente pilhais,\nreverterá para o meu nome. E mesmo será meu,\ntido por meu, contado como meu,\naté mesmo aquele pouco e miserável\nque, só por vós, sem roubo, haveríeis feito.\nNada tereis, mas nada: nem os ossos,\nque um vosso esqueleto há de ser buscado,\npara passar por meu. E para outros ladrões,\niguais a vós, de joelhos, porem flores no túmulo.\nJorge de Sena, Antologia Poética, edição de Jorge Fazenda Lourenço, Lisboa, Guimarães, 2010, p. 127.\nSelecione a opção de resposta adequada para completar a afirmação abaixo apresentada.\nAo longo do poema, o sujeito poético exprime, entre outros, um sentimento de ______ que é evidenciado por artifícios como ______.\nOpções:\nA) autocomiseração ... a repetição de vocábulos com sentido antitético\nB) autocomiseração ... o recurso a enumerações\nC) revolta ... o recurso a enumerações\nD) revolta ... a repetição de vocábulos com sentido antitético\n;C;D
5;"Documento Document 1:\n‘Sperai! Caí no areal e na hora adversa\nQue Deus concede aos seus\nPara o intervalo em que esteja a alma imersa\nEm sonhos que são Deus.\n5 Que importa o areal e a morte e a desventura\nSe com Deus me guardei?\nÉ O que eu me sonhei que eterno dura,\nÉ Esse que regressarei.\nFernando Pessoa, Mensagem e Outros Poemas sobre Portugal,\nSelecione a opção de resposta adequada para completar a afirmação.\nNa primeira estrofe, o uso do vocábulo ""intervalo"" remete para um antes e um depois, correspondendo a um tempo\nOpções:\nA) de desistência durante o qual a essência do sujeito poético perdura.\nB) de transição durante o qual a essência do sujeito poético esmorece.\nC) de desistência durante o qual a essência do sujeito poético esmorece.\nD) de transição durante o qual a essência do sujeito poético perdura.\n";D;D
6;"Documento document_2:\nVaidosa\nDizem que tu és pura como um lírio\nE mais fria e insensível que o granito,\nE que eu que passo aí por favorito\nVivo louco de dor e de martírio.\nContam que tens um modo altivo e sério,\nQue és muito desdenhosa e presumida,\nE que o maior prazer da tua vida,\nSeria acompanhar-me ao cemitério.\nChamam-te a bela imperatriz das fátuas¹,\nA déspota, a fatal, o figurino2,\nE afirmam que és um molde alabastrino³,\nE não tens coração como as estátuas.\nE narram o cruel martirológio4\nDos que são teus, ó corpo sem defeito,\nE julgam que é monótono o teu peito\nComo o bater cadente dum relógio.\nPorém eu sei que tu, que como um ópio\nMe matas, me desvairas e adormeces\nÉs tão loira e doirada como as messes5\nE possuis muito amor... muito amor-próprio.\nCesário Verde, Obra Completa, edição de Joel Serrão,\nNOTAS\nfátuas - vaidades.\nfigurino - modelo; exemplo de moda.\nalabastrino - de alabastro, mármore branco e translúcido.\nmartirológio – narrativa do martírio dos mártires e santos.\nmesses - searas maduras.\nSelecione a opção de resposta adequada para completar a afirmação.\nA mulher ""fatal"" (v. 10) descrita no poema é caracterizada como insensível e cruel, ao ser associada, respetivamente, a expressões como\nOpções:\nA) ""imperatriz das fátuas"" (v. 9) e ""modo altivo e sério"" (ν. 5).\nB) ""molde alabastrino"" (v. 11) e ""acompanhar-me ao cemitério"" (v. 8).\nC) ""imperatriz das fátuas"" (v. 9) e ""martírio"" (v. 4).\nD) ""molde alabastrino"" (v. 11) e ""figurino"" (ν. 10).\n";B;A
7;Documento Poesia:\nLisboa com suas casas\nDe várias cores,\nLisboa com suas casas\nDe várias cores,\nLisboa com suas casas\nDe várias cores...\nÀ força de diferente, isto é monótono,\nComo à força de sentir, fico só a pensar.\nSe, de noite, deitado mas desperto\nNa lucidez inútil de não poder dormir,\nQuero imaginar qualquer coisa\nE surge sempre outra (porque há sono,\nE, porque há sono, um bocado de sonho),\nQuero alongar a vista com que imagino\nPor grandes palmares fantásticos,\nMas não vejo mais,\nContra uma espécie de lado de dentro de pálpebras,\nQue Lisboa com suas casas\nDe várias cores.\nSorrio, porque, aqui, deitado, é outra coisa.\nÀ força de monótono, é diferente.\nE, à força de ser eu, durmo e esqueço que existo.\nFica só, sem mim, que esqueci porque durmo,\nLisboa com suas casas\nDe várias cores.\nÁlvaro de Campos, Poesia, edição de Teresa Rita Lopes,\nSelecione a opção de resposta adequada para completar a afirmação.\nDe entre os vários processos que contribuem para imprimir ritmo ao poema, destaca-se a presença, em simultâneo,\nOpções:\nA) de um esquema rimático fixo em todas as estrofes e da repetição de palavras em final de verso.\nB) da alternância entre versos longos e versos curtos e de anástrofes frequentes.\nC) de um esquema rimático fixo em todas as estrofes e de anástrofes frequentes.\nD) da alternância entre versos longos e versos curtos e da repetição de palavras em final de verso.\n;D;D
8;"Documento Quem tem farelos?:\nORDOÑO – Quién es tu amo?1 Di, hermano2.\nAPARIÇO – É o demo que me tome.3\nMorremos ambos de fome\ne de lazeira4 todo ano.\nORDOÑO – Con quién vive?\nAPARIÇO\nQue sei eu?!\nVive assi per i, pelado\ncoma podengo5 escaldado.\nORDOÑO – De qué sirve?\nAPARIÇO\nDe sandeu6.\nPentear e jejuar\ntod'o dia sem comer,\ncantar e sempre tanger7,\nsospirar e bocijar.\nSempre anda falando só.\nFaz űas trovas tam frias,\ntam sem graça, tam vazias,\nque é cousa pera haver dó.\nE presume d'embicado8,\nque com isto raivoº eu.\nTrês anos há que sam10 seu\ne nunca lhe vi cruzado 11.\nMas, segundo nós gastamos,\num tostão nos dura um mês.\nORDOÑO – Cuerpo de san! Qué coméis?\nAPARIÇO - Nem de pão nam nos fartamos.\nORDOÑO – Y el caballo?\nAPARIÇO\nEstá na pele,\nque lhe fura já a ossada.\nNam comemos quasi nada,\neu e o cavalo nem ele.\nE se o visses brasonar12\ne fingir mais d'esforçado!\nE todo o dia aturado\nse lhe vai em se gabar.\nGil Vicente, Quem tem farelos?,\nNOTAS\n1 Quién es tu amo? – Quem é o teu amo?\n2 Di, hermano – Diz, irmão.\n3 É o demo que me tome. – O diabo que me leve.\n4 lazeira – miséria.\n5 podengo – raça de cães.\n6 sandeu – parvo; louco.\n7 tanger – tocar.\n8 presume d’embicado – tem-se na conta de inspirado.\n9 raivo – irrito-me.\n10 sam – sou.\n11 e nunca lhe vi cruzado – e nunca fui pago.\n12 brasonar – fazer ostentação; gabar-se.\nSelecione a opção de resposta adequada para completar a afirmação.\nTal como se comprova no excerto transcrito, este texto de Gil Vicente foi escrito\nOpções:\nA) em verso de redondilha menor e apresenta rima cruzada.\nB) em verso de redondilha menor e apresenta rima interpolada e emparelhada.\nC) em verso de redondilha maior e apresenta rima interpolada e emparelhada.\nD) em verso de redondilha maior e apresenta rima cruzada.\n";C;A
9;\nSeja $g$ a função definida em $\mathbb{R}$ por $g(x) = \frac{e^x + 5}{2 + \cos x}$\nConsidere a sucessão de termo geral $u_n = \frac{n + 1}{n^2}$\nIndique o valor de $\lim_{n \to +\infty} g(u_n)$\nOpções:\nA) 4\nB) 3\nC) 2\nD) 1\n;C;C
